課-序號,序號,生詞,漢拼,詞類,英譯,越譯,泰譯,緬譯,日譯,韓譯,西譯,印尼譯,冊
4-1,20.     ,凶猛,xiōngměng,Vs,"fierce, ferocious","dữ tợn, hung bạo",ดุร้ายดุร้าย,ပြင်းထန်သော၊ ပြင်းထန်သော,獰猛な、獰猛な,"맹렬한, 사나운","feroz, feroz","ganas, ganas",4
4-1,21.     ,動物,dòngwù,N,animal,động vật,สัตว์,တိရစ္ဆာန်,動物,동물,animal,hewan,4
4-1,22.     ,刀,dāo,N,knife,dao,มีด,ဓား,ナイフ,칼,cuchillo,pisau,4
4-1,23.     ,劍,jiàn,N,sword,kiếm,ดาบ,ဓား,剣,검,espada,pedang,4
4-1,24.     ,脾氣,píqì,N,temper,tính khí,อารมณ์,ဒေါသ,気性,성질,temperamento,melunakkan,4
4-1,25.     ,暴躁,bàozào,Vs,"cranky, irritable","cáu kỉnh, dễ nổi nóng",บ้าๆบอ ๆ หงุดหงิด,"cranky, စိတ်တိုတို",気難しい、イライラする,"짜증나는, 짜증나는","malhumorado, irritable","rewel, mudah tersinggung",4
4-1,26.     ,衝動,chōngdòng,Vs,"impulsive, rash","bốc đồng, hấp tấp","ห่าม, ผื่น",စိတ်မြန်သော၊ အဖု,衝動的な、発疹のある,"충동적인, 발진","impulsivo, erupción","impulsif, gegabah",4
4-1,27.     ,鏡子,jìngzi,N,mirror,gương,กระจกเงา,ကြေးမုံ,鏡,거울,espejo,cermin,4
4-1,28.     ,床腳,chuángjiǎo,N,foot of the bed,cuối giường,ปลายเตียง,ကုတင်ခြေရင်း,ベッドの足元,침대 발,pie de la cama,kaki tempat tidur,4
4-1,29.     ,光,guāng,Adv,"alone, merely","chỉ, đơn thuần",เพียงอย่างเดียวเท่านั้น,တစ်ယောက်တည်း,一人で、ただ,"혼자, 그저","solo, simplemente","sendirian, hanya saja",4
4-1,30.     ,擺飾,bǎishì,N,"décor, ornaments",đồ trang trí,"การตกแต่ง, เครื่องประดับ",အပြင်အဆင်၊ အဆင်တန်ဆာများ,装飾、装飾品,"장식, 장신구","decoración, adornos","dekorasi, ornamen",4
4-1,31.     ,老婆,lǎopó,N,wife,vợ,ภรรยา (phan ra ya),ဇနီး (za nee),妻 (tsuma),아내 (anae),esposa,istri,4
4-1,32.     ,把,bǎ ,M,"measure word for objects that can be grasped or objects with a handle, e.g., umbrella, knife","cây, cái, con (lượng từ cho vật có thể cầm hoặc có tay cầm, ví dụ: ô, dao)",วัดคำสำหรับสิ่งที่จับได้หรือวัตถุที่มีด้ามจับ เช่น ร่ม มีด,ဆုပ်ကိုင်နိုင်သော အရာဝတ္ထုများအတွက် စကားလုံး သို့မဟုတ် လက်ကိုင်ဖြင့် အရာဝတ္ထုများကို တိုင်းတာပါ၊ ဥပမာ၊ ထီး၊ ဓား၊,傘やナイフなど、掴める物や柄のある物を表す言葉,"잡을 수 있는 물건이나 손잡이가 있는 물건(예: 우산, 칼)에 대한 측정 단어","palabra de medida para objetos que se pueden agarrar u objetos con mango, por ejemplo, paraguas, cuchillo","kata ukur untuk benda yang dapat digenggam atau benda yang mempunyai pegangan, misalnya payung, pisau",4
4-1,33.     ,欺負,qīfù,V,"to pick on, bully, take advantage of","bắt nạt, ức hiếp",ที่จะเลือกรังแกเอาเปรียบ,ရွေးချယ်ရန်၊ အနိုင်ကျင့်၊ အခွင့်ကောင်းယူရန်,いじめる、いじめる、利用する,"괴롭히다, 괴롭히다, 이용하다","molestar, intimidar, aprovecharse de","memilih, menindas, memanfaatkan",4
4-1,34.     ,風水學,Fēngshuǐxué,,"the study of Feng Shui, geomancy (學 -xué, study, -ology)",môn phong thủy,"การศึกษาฮวงจุ้ย ภูมิศาสตร์ (學 -xué, การศึกษา, -วิทยา)",Feng Shui လေ့လာမှု၊ ပထဝီဝင်ပညာ (學 -xué၊ လေ့လာမှု၊ -ology),風水、風水学（学学、学問、学）,"풍수학, 풍수학(학 -xué, 학문, -ology)에 대한 연구","el estudio del Feng Shui, geomancia (學 -xué, estudio, -ología)","studi tentang Feng Shui, geomansi (學 -xué, studi, -ologi)",4
4-1,35.     ,正對門,zhèng duì mén,,directly facing the door,chính diện cửa,หันหน้าไปทางประตูโดยตรง,တံခါးကိုတိုက်ရိုက်မျက်နှာမူ,ドアに真正面を向いて,문을 바로 마주하고 있는,directamente frente a la puerta,menghadap langsung ke pintu,4
4-1,36.     ,譬如說,pìrú shuō,,for example,ví dụ,ตัวอย่างเช่น (toyang chen) / ยกตัวอย่าง (yok toyang),ဥပမာ (u pa ma) / ဥပမာအားဖြင့် (u pa ma a: hpyin),例えば (tatoeba),예를 들면 (yereul deulmyeon) / 예컨대 (yeokeondae),Por ejemplo,Misalnya,4
4-1,37.     ,一口氣,yì kǒu qì,,in one breath,một mạch,ในหนึ่งลมหายใจ,တဦးတည်းအသက်ရှု,一息に,한숨에,en un suspiro,dalam satu tarikan napas,4
4-1,38.     ,死定了,sǐdìngle,,"(You’re) a dead man, You’re toast",Mày chết chắc rồi,(คุณ) คนตาย คุณคือขนมปังปิ้ง,(မင်းက) လူသေ၊ မင်းက ဆန္ဒပြုတယ်။,(あなたは) 死人だ、あなたはトーストだ,(너는) 죽은 사람 넌 건배,"(Eres) hombre muerto, estás tostado","(Kamu) sudah mati, kamu bersulang",4
4-2,1.        ,地理,dìlǐ,N,geography,địa lý,ภูมิศาสตร์,ပထဝီဝင်,地理,지리학,geografía,geografi,4
4-2,2.        ,便利性,biànlìxìng,N,"convenience (性 -xìng, property, suffix indicating that a term is a noun)",sự tiện lợi,"ความสะดวกสบาย (性 - xìng, ทรัพย์สิน, คำต่อท้ายที่ระบุว่าคำนั้นเป็นคำนาม)",အဆင်ပြေခြင်း (性 -xìng၊ ပစ္စည်းဥစ္စာ၊ ဝေါဟာရတစ်ခုသည် နာမ်ဖြစ်ကြောင်းဖော်ပြသော နောက်ဆက်တွဲ),利便性 (性 -xìng、プロパティ、用語が名詞であることを示す接尾辞),"편의(性-xìng, 속성, 용어가 명사임을 나타내는 접미사)","conveniencia (性 -xìng, propiedad, sufijo que indica que un término es un sustantivo)","kenyamanan (性 -xìng, properti, akhiran yang menunjukkan bahwa suatu istilah adalah kata benda)",4
4-2,3.        ,周邊,zhōubiān,N,"surrounding, periphery","xung quanh, vùng ngoại vi","โดยรอบ, รอบนอก",ပတ်ဝန်းကျင်၊ အစွန်အဖျား,周囲、周縁,"주변, 주변","alrededores, periferia","sekitarnya, pinggiran",4
4-2,4.        ,住宅,zhùzhái,N,residence,nơi cư trú,ถิ่นที่อยู่,နေထိုင်ရာ,住居,거주,residencia,tempat tinggal,4
4-2,5.        ,詞,cí,N,"term,word","thuật ngữ, từ ngữ","เทอม, คำพูด",ဝေါဟာရ၊ စကားလုံး,用語、単語,"용어,단어","término, palabra","istilah, kata",4
4-2,6.        ,西元,Xīyuán,N,A.D. ,sau Công nguyên,อ.,ခရစ်နှစ် (A.D.),広告。,AD,ANUNCIO.,IKLAN.,4
4-2,7.        ,推翻,tuīfān,V,"to repudiate, overturn","bác bỏ, lật đổ",ปฏิเสธพลิกคว่ำ,ငြင်းဆိုရန်၊ မှောက်လှန်ရန်,否認する、覆す,"부인하다, 뒤집다","repudiar, revocar","menolak, membatalkan",4
4-2,8.        ,心中,xīnzhōng,N,in somebody’s heart,trong lòng ai đó,ในหัวใจของใครบางคน,တစ်စုံတစ်ယောက်ရဲ့နှလုံးသားထဲမှာ,誰かの心の中で,누군가의 마음속에,en el corazón de alguien,di hati seseorang,4
4-2,9.        ,名言,míngyán,N,well-known saying,câu nói nổi tiếng,คำพูดที่รู้จักกันดี,လူသိများသောစကား,有名な諺,잘 알려진 말,dicho muy conocido,pepatah terkenal,4
4-2,10.     ,建造,jiànzào,V,to build,xây dựng,ที่จะสร้าง,တည်ဆောက်ရန်,構築する,구축하다,construir,membangun,4
4-2,11.     ,塑造,sùzào,V,to shape,"định hình, tạo hình",เพื่อรูปร่าง,ပုံဖော်ရန်,形を整える,모양을 만들다,dar forma,membentuk,4
4-2,12.     ,命運,mìngyùn,N,"fate, destiny",số phận,โชคชะตาโชคชะตา,ကံတရား၊ ကံတရား,運命、運命,"운명, 운명","suerte, destino","takdir, takdir",4
4-2,13.     ,本身,běnshēn,N,"itself, oneself","bản thân, chính nó",ตัวเอง ตัวเอง,ကိုယ်တိုင်၊ ကိုယ်တိုင်,それ自体、自分自身,"그 자체, 자신","sí mismo, uno mismo","itu sendiri, diri sendiri",4
4-2,14.     ,地標,dìbiāo,N,landmark,"điểm mốc, biểu tượng",จุดสังเกต,မှတ်တိုင်,ランドマーク,경계표,marca,landmark,4
4-2,15.     ,參考,cānkǎo,V/N,to make reference to; reference,tham khảo; sự tham khảo,เพื่ออ้างอิงถึง; อ้างอิง,ကိုးကားရန်; အကိုးအကား,参照すること。参照,참고하다; 참조,hacer referencia a; referencia,membuat referensi; referensi,4
4-2,16.     ,外觀,wàiguān,N,"exterior, appearance","bề ngoài, ngoại thất",ภายนอกรูปลักษณ์ภายนอก,အပြင်ပန်း၊ အသွင်အပြင်,外観、外観,"외관, 외관","exterior, apariencia","eksterior, penampilan",4
4-2,17.     ,疊,dié,V,to stack,"chất đống, xếp chồng",เพื่อซ้อนกัน,stack လုပ်ဖို့,積み重ねる,쌓다,apilar,menumpuk,4
4-2,18.     ,盆子,pénzi,N,basin,chậu,ลุ่มน้ำ,အင်တုံ,流域,분지,cuenca,baskom,4
4-2,19.     ,斜,xié,Vs,"slanted, tilted","nghiêng, xiên",เอียงเอียง,စောင်း၊ စောင်း,傾いた、​​傾いた,"기울어진, 기울어진","inclinado, inclinado","miring, miring",4
4-2,20.     ,牆面,qiángmiàn,N,wall face,bề mặt tường,ใบหน้าผนัง,နံရံမျက်နှာ,壁面,벽면,cara de la pared,muka dinding,4
4-2,21.     ,聚寶盆,jùbǎopén,N,"treasure basin, similar to a cornucopia but filled with treasure (聚 -jù, to gather; 寶 -bǎo, treasure; ","bồn tụ báu, chậu thập bảo",อ่างสมบัติ คล้ายกับความอุดมสมบูรณ์แต่เต็มไปด้วยสมบัติ (聚 -jù รวบรวม; 寶 -bǎo สมบัติ;,စည်းစိမ်ဥစ္စာနှင့် ဆင်တူသော်လည်း ရတနာများ (聚 -jù၊ စုဆောင်းရန်; 寶 -bǎo၊ ရတနာ၊,宝の壺、宝庫に似ていますが、宝が詰まっています (聚 -jù、集める、寶 -bao、宝。,"보물 대야, 풍요의 뿔과 비슷하지만 보물로 가득 차 있습니다(聚 -jù, 모으다; 寶 -bō, 보물;","cuenca del tesoro, similar a una cornucopia pero llena de tesoros (聚 -jù, recolectar; 寶 -bǎo, tesoro;","baskom harta karun, mirip dengan tumpah ruah tetapi berisi harta karun (聚 -jù, mengumpulkan; 寶 -bǎo, harta karun;",4
4-2,22.     ,角,jiǎo,N,corner,góc,มุม,ထောင့်,コーナー,모서리,esquina,sudut,4
4-2,23.     ,龍,lóng,N,dragon,rồng,มังกร,နဂါး,ドラゴン,용,dragón,naga,4
4-2,24.     ,古,gǔ,Vs-attr,ancient (formal),cổ xưa (trang trọng),โบราณ (เป็นทางการ),ရှေးခေတ် (တရားဝင်),古代（正式な）,고대 (형식적으로),antiguo (formal),kuno (formal),4
4-2,25.     ,錢幣,qiánbì,N,"coins,currency","tiền xu, tiền tệ",เหรียญสกุลเงิน,ဒင်္ဂါးပြား၊ငွေကြေး,コイン、通貨,"동전, 통화","monedas, moneda","koin, mata uang",4
4-2,26.     ,屋頂,wūdǐng,N,roof,mái nhà,หลังคา,ခေါင်မိုး,屋根,지붕,techo,atap,4
4-2,27.     ,龜,guī,N,"turtle, tortoise",rùa,เต่าเต่า,လိပ်၊ လိပ်,カメ、カメ,"거북이, 거북이","tortuga, tortuga","kura-kura, kura-kura",4
4-2,28.     ,招財,zhāocái,Vi,to attract treasure,chiêu tài,เพื่อดึงดูดสมบัติ,အမြတ်တနိုးဆွဲဆောင်ရန်,宝物を引き寄せる,보물을 끌어들이다,atraer tesoro,menarik harta karun,4
4-2,29.     ,側門,cèmén,N,"side door, side gate","cửa hông, cổng phụ","ประตูด้านข้าง, ประตูด้านข้าง",ဘေးတံခါး၊ ဘေးတံခါး,サイドドア、サイドゲート,"옆문, 옆문","puerta lateral, puerta lateral","pintu samping, gerbang samping",4
4-2,30.     ,遮雨棚,zhēyǔpéng,N,"canopy, awning",mái hiên,"กันสาด, กันสาด",ကာဗာ၊,キャノピー、オーニング,"캐노피, 차양","dosel, toldo","kanopi, tenda",4
4-2,31.     ,如意,rúyì,N,"ruyi, scepter, s-shaped ornamental object that brings good luck","như ý, vật trang trí hình chữ S mang lại may mắn",Ruyi คทา วัตถุประดับรูปตัว S เสริมโชคลาภ,ရူရီ၊ လှံတံ၊ ဓနပုံသဏ္ဍာန် တန်ဆာဆင်သော အရာဝတ္ထု,如意、笏、幸運をもたらすS字型の装飾品,"루이(ruyi), 홀, 행운을 불러오는 S자 모양의 장식물","ruyi, cetro, objeto ornamental en forma de s que trae buena suerte","ruyi, tongkat kerajaan, benda hias berbentuk s yang membawa keberuntungan",4
4-2,32.     ,設計,shèjì,N/V,design; to design,thiết kế; sự thiết kế,ออกแบบ; เพื่อออกแบบ,ဒီဇိုင်း; ဒီဇိုင်းလုပ်ဖို့,デザイン;デザインする,설계; 디자인하다,diseño; diseñar,desain; mendesain,4
4-2,33.     ,偶然,ǒurán,Vs,"random, accidental, chancy","ngẫu nhiên, tình cờ","บังเอิญ, โดยบังเอิญ, โดยบังเอิญ",ကျပန်း၊ မတော်တဆ၊ အခွင့်အလမ်း,ランダム、偶然、偶然,"우연한, 우연한, 우연한","aleatorio, accidental, arriesgado","acak, tidak disengaja, kebetulan",4
4-2,34.     ,晉代,Jìn Dài,,Jin Dynasty,Nhà Tấn,ราชวงศ์จิน,Jin မင်းဆက်,晋朝,진 왕조,Dinastía Jin,Dinasti Jin,4
4-2,35.     ,郭璞,Guō Pú,,Guo Pu,Quách Phác,กัวปู,Guo Pu,郭浦,궈푸,Guo Pu,Guo Pu,4
4-2,36.     ,英國,Yīngguó,,the UK,Vương quốc Anh,สหราชอาณาจักร,ယူကေ,イギリス,영국,el reino unido,Inggris,4
4-2,37.     ,邱吉爾,Qiūjí’ěr,,Churchill,Churchill,เชอร์ชิล,ချာချီ,チャーチル,처칠,Iglesia,Churchill,4
4-2,38.     ,信義路,Xìnyì Lù,,Xinyi Road,Đường Tín Nghĩa,ถนนซินยี่,Xinyi လမ်း,信義路,신이 로드,Carretera Xinyi,Jalan Xinyi,4
4-2,39.     ,松智路,Sōngzhì Lù,,Songzhi Road,Đường Tùng Trí,ถนนซ่งจื้อ,Songzhi လမ်း,松志路,송지로,Camino Songzhi,Jalan Songzhi,4
4-2,40.     ,一命二運三風水,yímìng èryùn sānfēngshuǐ,,Fate is most important. Luck is second. Feng Shui is third.,"Nhất mệnh, nhị vận, tam phong thủy.",โชคชะตาเป็นสิ่งสำคัญที่สุด โชคเป็นอันดับสอง ฮวงจุ้ยเป็นอันดับสาม,ကံတရားက အရေးကြီးဆုံးပါ။ ကံတရားက ဒုတိယ။ Feng Shui သည် တတိယဖြစ်သည်။,運命が最も重要です。運は二の次です。 3位は風水です。,운명이 가장 중요합니다. 행운은 두 번째입니다. 풍수는 세 번째입니다.,El destino es lo más importante. La suerte está en segundo lugar. El Feng Shui ocupa el tercer lugar.,Nasib adalah yang paling penting. Keberuntungan adalah yang kedua. Feng Shui berada di urutan ketiga.,4
4-2,41.     ,加起來,jiāqǐlái,,"to add up, totalize","cộng dồn, tính tổng",เพื่อเพิ่มผลรวม,ပေါင်းရန်၊ စုစုပေါင်း,合計する、合計する,"합산하다, 합산하다","sumar, totalizar","menjumlahkan, menjumlahkan",4
4-2,42.     ,咬錢龜,yǎoqián guī,,money-biting turtle,rùa cắn tiền,เต่ากัดเงิน,ပိုက်ဆံကိုက်တဲ့လိပ်,お金を噛むカメ,돈을 물어뜯는 거북이,tortuga que muerde dinero,kura-kura penggigit uang,4
4-2,43.     ,十全十美,shíquán,,"perfect, pinnacle of perfection","hoàn hảo, đỉnh cao của sự hoàn hảo",สมบูรณ์แบบ สุดยอดแห่งความสมบูรณ์แบบ,ပြီးပြည့်စုံသော၊ ပြီးပြည့်စုံမှု၏အထွတ်အထိပ်,完璧、完璧の頂点,"완벽함, 완벽함의 정점","perfecto, pináculo de la perfección","sempurna, puncak kesempurnaan",4
5-1,1.        ,夢,mèng ,N,dream,giấc mơ,ฝัน,အိပ်မက်,夢,꿈,sueño,mimpi,4
5-1,2.        ,排隊,páiduì ,V-sep,"to line up, stand in queue",xếp hàng,เข้าแถวยืนเข้าแถว,တန်းစီရန်၊ တန်းစီရန်,並ぶ、列に並ぶ,"줄을 서다, 줄을 서다","hacer fila, hacer cola","berbaris, berdiri dalam antrian",4
5-1,3.        ,校刊,xiàokān ,N,"school newspaper, school publications of all sorts","báo tường, ấn phẩm của trường",หนังสือพิมพ์โรงเรียน สิ่งพิมพ์ของโรงเรียนทุกประเภท,ကျောင်းထုတ်သတင်းစာ၊ ကျောင်းစာအုပ်မျိုးစုံ,学校新聞、あらゆる種類の学校出版物,"학교 신문, 모든 종류의 학교 간행물","periódico escolar, publicaciones escolares de todo tipo","koran sekolah, segala jenis publikasi sekolah",4
5-1,4.        ,採訪,cǎifǎng ,V,to interview,phỏng vấn,เพื่อสัมภาษณ์,အင်တာဗျူးရန်,インタビューする,인터뷰하다,entrevistar,mewawancarai,4
5-1,5.        ,校友,xiàoyǒu ,N,alumnus,cựu sinh viên,ศิษย์เก่า,ကျောင်းသားဟောင်းများ,卒業生,학생,antiguo alumno,lulusan,4
5-1,6.        ,博士,bóshì ,N,"doctorate, PhD",học vị tiến sĩ,"ปริญญาเอก, ปริญญาเอก",ပါရဂူဘွဲ့၊ PhD,博士号、PhD,"박사, PhD","doctorado, doctorado","doktor, PhD",4
5-1,7.        ,學位,xuéwèi ,N,academic degree,"học vị, bằng cấp",วุฒิการศึกษา,ပညာရေးဘွဲ့,学位,학업 학위,grado academico,gelar akademis,4
5-1,8.        ,考,kǎo,V,to take a test,"thi, kiểm tra",สอบ (sop),စာမေးပွဲဖြေသည် (sa may pwe fpay thi),試験を受ける (shiken o ukeru),시험 보다 (siheom boda),hacer una prueba,mengikuti tes,4
5-1,9.        ,司機,sījī ,N,"driver, chauffeur",tài xế,"คนขับ, คนขับรถ",ယာဉ်မောင်း၊ ကားမောင်း,運転手、運転手,"운전사, 운전사","conductor, chofer","sopir, sopir",4
5-1,10.     ,學士,xuéshì ,N,"bacheloars, college degree",bằng cử nhân,"ปริญญาตรี, ปริญญาวิทยาลัย",ဘွဲ့၊ ကောလိပ်ဘွဲ့,学士、大学の学位,"학사, 대학 학위","licenciaturas, titulo universitario","sarjana, gelar sarjana",4
5-1,11.     ,地攤,dìtān,N,street stall,"quầy hàng lề đường, sạp hàng",แผงลอยริมถนน,လမ်းဘေးဆိုင်,露店,노점상,puesto callejero,kios pinggir jalan,4
5-1,12.     ,現象,xiànxiàng ,N,phenomenon ,hiện tượng,ปรากฏการณ์,ဖြစ်ရပ်ဆန်း,現象,현상,fenómeno,gejala,4
5-1,13.     ,稀奇,xīqí ,Vs,"rare (and unique), singular ","hiếm có, độc nhất",หายาก (และไม่เหมือนใคร) เอกพจน์,ရှားပါး (ထူးခြားသော) အနည်းကိန်း,珍しい（そしてユニークな）、特異な,"희귀하고 독특한, 특이한","raro (y único), singular","langka (dan unik), tunggal",4
5-1,14.     ,搶,qiǎng ,V,"to rob, mug","cướp, cướp giật",ปล้นแก้ว,လုယက်ရန်၊ မတ်ခွက်,強盗する、マグカップ,"도둑질하다, 머그잔","robar, asaltar","merampok, merampok",4
5-1,15.     ,批評,pīpíng ,V,to criticize,chỉ trích,ที่จะวิพากษ์วิจารณ์,ဝေဖန်ရန်,批判する,비판하다,criticar,mengkritik,4
5-1,16.     ,浪費,làngfèi ,Vst,to waste,lãng phí,ที่จะเสีย,ဖြုန်းတီးရန်,無駄にする,낭비하다,desperdiciar,disia-siakan,4
5-1,17.     ,畢竟,bìjìng ,Adv,after all,"rốt cuộc, sau cùng",หลังจากนั้น,နောက်ဆုံးတော့,結局,결국,después de todo,bagaimanapun,4
5-1,18.     ,貢獻,gòngxiàn ,V,to make contributions,đóng góp,เพื่อบริจาค,အလှူငွေထည့်ဝင်ရန်,貢献する,기여하다,hacer contribuciones,memberikan kontribusi,4
5-1,19.     ,的確,díquè,Adv,indeed,quả thực,อย่างแท้จริง,တကယ်ပါပဲ,確かに,물론,en efecto,Memang,4
5-1,20.     ,盲目,mángmù ,Adv,blindly,mù quáng,สุ่มสี่สุ่มห้า,မျက်စိစုံမှိတ်,盲目的に,맹목적으로,a ciegas,secara membabi buta,4
5-1,21.     ,升學,shēngxué ,Vi,to pursue further education,theo đuổi việc học cao hơn,เพื่อศึกษาต่อต่อไป,ဆက်လက်ပညာသင်ယူရန်,さらなる教育を受けるために,추가 교육을 받기 위해,continuar con su educación,melanjutkan pendidikan lebih lanjut,4
5-1,22.     ,逃避,táobì ,V,"to evade, escape","lẩn tránh, trốn tránh",เพื่อหลบเลี่ยงหนี,ရှောင်ရန်၊ လွတ်မြောက်ရန်,避ける、逃げる,"회피하다, 탈출하다","evadir, escapar","menghindar, melarikan diri",4
5-1,23.     ,就業,jiùyè ,N/Vi ,employment; to get a job,việc làm; tìm việc,การจ้างงาน; เพื่อให้ได้งาน,အလုပ်အကိုင်; အလုပ်တစ်ခုရဖို့,雇用;仕事を得る,고용; 직업을 얻기 위해,empleo; para conseguir un trabajo,pekerjaan; mendapatkan pekerjaan,4
5-1,24.     ,延後,yánhòu ,V,to postpone,trì hoãn,ที่จะเลื่อนออกไป,ရွှေ့ဆိုင်းရန်,延期する,연기하다,posponer,menunda,4
5-1,25.     ,啃老族,kěnlǎozú,N,"a “sponge”, a “parasite”, somebody who feeds off the old (啃老 kěnlǎo, live off one’s parents, lit. gnaw on the old)","""ký sinh trùng"", người sống bám vào bố mẹ già",“ฟองน้ำ” “ปรสิต” คนที่กินคนแก่ (啃老 kěnlăo แปลว่า อาศัยอยู่กับพ่อแม่ แปลว่าแทะคนแก่),“ရေမြှုပ်”၊ “ကပ်ပါးကောင်”၊ အဟောင်းကို ကျွေးမွေးသူ (啃老 kěnlǎo၊ မိဘကို စွန့်၍ အသက်မရှင်၊ အဟောင်းကို ကိုက်စား)၊,「スポンジ」、「寄生虫」、古いものを食べる人 (啃老 kěnlƎo、両親に頼って生きる、文字通り、古いものをかじる),"""스펀지"", ""기생충"", 늙은이를 잡아먹는 사람","una “esponja”, un “parásito”, alguien que se alimenta de lo viejo (啃老 kěnlǎo, vivir de los padres, literalmente, roer lo viejo)","“spons”, “parasit”, seseorang yang memakan yang lama (啃老 kěnlǎo, hidup dari orang tua, secara harafiah berarti menggerogoti yang lama)",4
5-1,26.     ,收攤,shōutān ,V-sep ,to close up shop (said of street stalls),đóng cửa hàng (nói về sạp hàng),ปิดร้าน (กล่าวถึงแผงลอยริมถนน),ဆိုင်ပိတ်ရန် (လမ်းဘေးဆိုင်များ),店を閉める（露店のことを言う）,가게를 닫다 (노점상에 대해 말함),cerrar tienda (dicho de los puestos callejeros),menutup toko (kata tentang warung pinggir jalan),4
5-1,27.     ,清潔隊員,qīngjié duìyuán ,,"cleaning squad, street cleaners (清潔qīngjié, to clean; 隊員-duìyuán, team member)","đội viên đội vệ sinh, công nhân quét đường",ทีมทำความสะอาด คนทำความสะอาดถนน (清潔qīngjié ทำความสะอาด; 隊員-duìyuán สมาชิกในทีม),သန့်ရှင်းရေးအဖွဲ့၊ လမ်းသန့်ရှင်းရေးသမားများ (清潔qīngjié၊ သန့်ရှင်းရေးလုပ်ရန်၊ 隊員-duìyuán၊ အဖွဲ့၀င်),清掃部隊、街路清掃員 (清潔清傑、掃除すること、隊員-duìyuán、チームメンバー),"청소반, 거리 청소부 (清潔qīngjié, 청소하다; 隊員-duìyuán, 팀원)","escuadrón de limpieza, barrenderos (清潔qīngjié, limpiar; 隊員-duìyuán, miembro del equipo)","regu pembersih, pembersih jalan (清潔qīngjié, membersihkan; 隊員-duìyuán, anggota tim)",4
5-1,28.     ,擺地攤,bǎi dìtān,,to have a street stall,bán hàng rong,ให้มีแผงลอยริมถนน,လမ်းဘေးဆိုင်ရှိရန်,露店を出すこと,노점상을 갖다,tener un puesto callejero,memiliki warung pinggir jalan,4
5-1,29.     ,大多數,dàduōshù ,,"most, the majority of","phần lớn, đa số","มากที่สุด, ส่วนใหญ่ของ",အများစု၊ အများစု,ほとんどの、大半の,"대부분, 대부분의","la mayoría, la mayoría de","sebagian besar, sebagian besar",4
5-1,30.     ,話說回來,huàshuō huílái ,,"on the other hand, however","mặt khác, tuy nhiên",อย่างไรก็ตามในทางกลับกัน,သို့သော် အခြားတစ်ဖက်တွင်၊,しかし一方で、,그러나 반면에,"por otro lado, sin embargo",namun di sisi lain,4
5-1,31.     ,自食其力,zìshí qílì ,,"to rely on yourself, to stand on your own two feet","tự lực, đứng trên đôi chân của mình",พึ่งพาตนเอง ยืนด้วยสองเท้าของตนเอง,ကိုယ့်ကိုယ်ကိုယ် အားကိုးဖို့၊ ကိုယ့်ခြေထောက်ပေါ်ကိုယ်ရပ်တည်ဖို့,自分に頼ること、自分の足で立つこと,"자신에게 의지하고, 스스로 두 발로 서는 것","confiar en ti mismo, valerte por ti mismo","mengandalkan diri sendiri, berdiri di atas kedua kaki sendiri",4
5-1,32.     ,下一期,xiàyìqí,,next issue (of a periodical),số tiếp theo (của tạp chí định kỳ),ฉบับต่อไป (ของวารสาร),နောက်စာစောင် (နတ်ပြည်)၊,（定期刊行物の）次号,(정기간행물의) 다음 호,próximo número (de un periódico),edisi berikutnya (berkala),4
5-2,1.        ,段,duàn,M,a period of (time),một khoảng thời gian,ระยะเวลาของ (เวลา),ကာလ (အချိန်),ある期間（時間）,(시간)의 기간,un período de (tiempo),jangka waktu (waktu),4
5-2,2.        ,物價,wùjià,N,"prices, commodity prices","giá cả, giá hàng hóa",ราคาราคาสินค้าโภคภัณฑ์,စျေးနှုန်းများ၊ ကုန်စျေးနှုန်းများ,価格、商品価格,"물가, 원자재 가격","precios, precios de productos básicos","harga, harga komoditas",4
5-2,3.        ,上漲,shàngzhǎng,Vp,to rise (of prices),tăng (giá),เพิ่มขึ้น (ของราคา),(စျေးနှုန်းများတက်ရန်),（価格が）上昇する,(물가가) 오르다,subir (de precios),naik (harga),4
5-2,4.        ,所得,suǒdé,N,income,thu nhập,รายได้,ဝင်ငွေ,所得,소득,ingreso,penghasilan,4
5-2,5.        ,漲,zhǎng,Vp,to rise (as of prices and water level),dâng lên (như giá cả và mực nước),เพิ่มขึ้น (ตามราคาและระดับน้ำ),မြင့်တက်ရန် (စျေးနှုန်းနှင့်ရေအဆင့်အရ),上昇する（価格と水位の点で）,(물가와 수위를 기준으로) 오르다,subir (a partir de los precios y el nivel del agua),naik (seperti harga dan ketinggian air),4
5-2,6.        ,勉強,miǎnqiǎng,Adv,"barely, with great reluctance","một cách miễn cưỡng, vừa đủ",แทบจะไม่เต็มใจเลย,တုံ့ဆိုင်းစွာဖြင့်၊,かろうじて、非常に不本意ながら,"간신히, 아주 꺼려하면서","apenas, con gran desgana","nyaris, dengan sangat enggan",4
5-2,7.        ,根本,gēnběn,Adv,"at all, in the slightest","một chút nào, hoàn toàn không",เลยแม้แต่น้อย,အနည်းငယ်မျှသာ,まったく、ほんの少しでも,"전혀, 조금이라도","en absoluto, en lo más mínimo","sama sekali, sedikit pun",4
5-2,8.        ,組織,zǔzhī,N,organization,tổ chức,องค์กร,အဖွဲ့အစည်း,組織,조직,organización,organisasi,4
